,portfolios
0.0,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.049525     -0.049525  0.080852
EURUSD_1min          -0.103001     -0.103003  0.168154
USDHKD_2min          -0.027691     -0.027691  0.045207
EURUSD_2min          -0.067452     -0.067454  0.110119
USDHKD_3min          -0.019861     -0.019861  0.032425
EURUSD_3min          -0.051415     -0.051417  0.083938
USDHKD_4min          -0.015816     -0.015816  0.025820
USDJPY_4min          -0.043070     -0.043071  0.070314
USDHKD_5min          -0.012917     -0.012918  0.021088
USDCNH_5min          -0.037056     -0.037058  0.060496
USDHKD_6min          -0.011313     -0.011313  0.018469
USDCNH_6min          -0.033096     -0.033098  0.054031
USDHKD_7min          -0.009783     -0.009784  0.015972
USDCNH_7min          -0.030802     -0.030803  0.050286
USDHKD_8min          -0.008967     -0.008967  0.014639
USDCNH_8min          -0.026879     -0.026880  0.043881
USDHKD_9min          -0.008210     -0.008210  0.013403
USDCNH_9min          -0.024595     -0.024596  0.040153
USDHKD_10min         -0.007067     -0.007067  0.011537
USDCNH_10min         -0.024022     -0.024023  0.039217"
0.1,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.044682     -0.044068  0.083901
EURUSD_1min          -0.088860     -0.089508  0.166856
USDHKD_2min          -0.024950     -0.024736  0.046849
EURUSD_2min          -0.057341     -0.057945  0.107672
USDHKD_3min          -0.017888     -0.017738  0.033588
EURUSD_3min          -0.043458     -0.043964  0.081604
USDHKD_4min          -0.014208     -0.013892  0.026678
USDJPY_4min          -0.036586     -0.036419  0.068700
USDHKD_5min          -0.011586     -0.011459  0.021756
USDCNH_5min          -0.032459           NaN  0.060949
USDHKD_6min          -0.010178     -0.010262  0.019112
EURUSD_6min          -0.028739           NaN  0.053965
USDHKD_7min          -0.008753     -0.008829  0.016436
EURUSD_7min          -0.026011           NaN  0.048842
USDHKD_8min          -0.008052     -0.008003  0.015119
USDCNH_8min          -0.023486           NaN  0.044101
USDHKD_9min          -0.007379     -0.007531  0.013856
EURUSD_9min          -0.021360           NaN  0.040109
USDHKD_10min         -0.006329     -0.006335  0.011885
USDJPY_10min         -0.020248     -0.019846  0.038021
USDJPY_5min                NaN     -0.033259       NaN
USDCNH_6min                NaN     -0.027798       NaN
USDJPY_7min                NaN     -0.025386       NaN
USDJPY_8min                NaN     -0.023378       NaN
USDJPY_9min                NaN     -0.021411       NaN"
0.2,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.039814     -0.040104  0.089246
EURUSD_1min          -0.074497     -0.073703  0.166989
USDHKD_2min          -0.022200     -0.022197  0.049763
EURUSD_2min          -0.047121     -0.048241  0.105625
USDHKD_3min          -0.015910     -0.016213  0.035664
EURUSD_3min          -0.035435     -0.032861  0.079429
USDHKD_4min          -0.012646     -0.012401  0.028347
EURUSD_4min          -0.029711           NaN  0.066598
USDHKD_5min          -0.010304     -0.010337  0.023098
EURUSD_5min          -0.026436     -0.024999  0.059259
USDHKD_6min          -0.009042     -0.009366  0.020268
EURUSD_6min          -0.022991           NaN  0.051536
USDHKD_7min          -0.007775     -0.007769  0.017429
EURUSD_7min          -0.020734     -0.022383  0.046476
USDHKD_8min          -0.007135     -0.007486  0.015994
EURUSD_8min          -0.019033           NaN  0.042663
USDHKD_9min          -0.006548     -0.006855  0.014678
EURUSD_9min          -0.016986     -0.014595  0.038075
USDHKD_10min         -0.005590     -0.005665  0.012531
USDJPY_10min         -0.016208           NaN  0.036332
USDJPY_4min                NaN     -0.028947       NaN
USDJPY_6min                NaN     -0.022755       NaN
USDJPY_8min                NaN     -0.018635       NaN
EURUSD_10min               NaN     -0.013975       NaN"
0.30000000000000004,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.034922     -0.035049  0.097487
EURUSD_1min          -0.059907     -0.060077  0.167235
USDHKD_2min          -0.019443     -0.019406  0.054278
EURUSD_2min          -0.036790     -0.037742  0.102702
USDHKD_3min          -0.013929     -0.014528  0.038883
EURUSD_3min          -0.027344     -0.025704  0.076332
USDHKD_4min          -0.011033     -0.010965  0.030799
EURUSD_4min          -0.022599     -0.021351  0.063087
USDHKD_5min          -0.009021     -0.009231  0.025182
EURUSD_5min          -0.019922     -0.020597  0.055613
USDHKD_6min          -0.007905     -0.008343  0.022066
EURUSD_6min          -0.017209     -0.015155  0.048042
USDHKD_7min          -0.006797     -0.006644  0.018974
EURUSD_7min          -0.015427     -0.014652  0.043067
USDHKD_8min          -0.006217     -0.006219  0.017356
EURUSD_8min          -0.014075           NaN  0.039290
USDHKD_9min          -0.005717     -0.005814  0.015958
EURUSD_9min          -0.012592     -0.013786  0.035152
USDHKD_10min         -0.004908     -0.005028  0.013700
USDJPY_10min         -0.012465           NaN  0.034796
USDJPY_8min                NaN     -0.012908       NaN
EURUSD_10min               NaN     -0.010325       NaN"
0.4,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.030004     -0.029642  0.111477
EURUSD_1min          -0.045087     -0.043256  0.167515
USDHKD_2min          -0.016679     -0.016401  0.061967
EURUSD_2min          -0.026347     -0.025318  0.097888
USDHKD_3min          -0.011943     -0.011467  0.044373
EURUSD_3min          -0.019185     -0.018247  0.071279
USDHKD_4min          -0.009467     -0.009361  0.035172
EURUSD_4min          -0.015487           NaN  0.057541
USDHKD_5min          -0.007735     -0.007591  0.028740
EURUSD_5min          -0.013363     -0.015083  0.049650
USDHKD_6min          -0.006766     -0.006843  0.025137
EURUSD_6min          -0.011393     -0.012496  0.042330
USDHKD_7min          -0.005817     -0.005782  0.021613
EURUSD_7min          -0.010093           NaN  0.037498
USDHKD_8min          -0.005299     -0.005381  0.019688
EURUSD_8min          -0.009091     -0.010016  0.033778
USDHKD_9min          -0.004884     -0.005081  0.018146
EURUSD_9min          -0.008178     -0.007841  0.030386
USDHKD_10min         -0.004168     -0.004201  0.015485
EURUSD_10min         -0.008165           NaN  0.030337
USDJPY_4min                NaN     -0.018920       NaN
USDJPY_7min                NaN     -0.011261       NaN
USDJPY_10min               NaN     -0.008580       NaN"
0.5,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.025062     -0.025436  0.139834
EURUSD_1min          -0.030034     -0.029603  0.167575
USDHKD_2min          -0.013906     -0.014149  0.077589
EURUSD_2min          -0.015791     -0.017916  0.088104
USDHKD_3min          -0.009954     -0.010420  0.055537
EURUSD_3min          -0.010958     -0.007801  0.061139
USDHKD_4min          -0.007848     -0.008074  0.043789
EURUSD_4min          -0.008271     -0.008573  0.046150
USDHKD_5min          -0.006448     -0.006481  0.035979
EURUSD_5min          -0.006655     -0.004370  0.037133
EURUSD_6min          -0.005543           NaN  0.030927
USDHKD_6min          -0.005626     -0.005089  0.031389
EURUSD_7min          -0.004729     -0.004629  0.026385
USDHKD_7min          -0.004837     -0.005215  0.026986
EURUSD_8min          -0.004267     -0.000313  0.023807
USDHKD_8min          -0.004436           NaN  0.024754
EURUSD_9min          -0.003745           NaN  0.020896
USDHKD_9min          -0.004051     -0.003984  0.022603
USDHKD_10min         -0.003483           NaN  0.019435
EURUSD_10min         -0.003583     -0.001317  0.019989
USDJPY_6min                NaN     -0.006990       NaN
USDJPY_8min                NaN     -0.004342       NaN
USDJPY_9min                NaN     -0.003972       NaN
GBPUSD_10min               NaN     -0.002927       NaN"
0.6000000000000001,"              Expexted Returns  Real Returns   Weights
EURUSD_1min          -0.014658     -0.016289  0.217990
USDHKD_1min          -0.020055     -0.020760  0.298249
EURUSD_2min          -0.005009     -0.003962  0.074499
USDJPY_2min          -0.010946     -0.008730  0.162780
EURUSD_3min          -0.002536     -0.001104  0.037715
USDJPY_3min          -0.006088           NaN  0.090541
EURUSD_4min          -0.000914     -0.001587  0.013586
USDJPY_4min          -0.003564     -0.002875  0.053003
EURUSD_5min           0.000152     -0.000875 -0.002259
USDJPY_5min          -0.002395     -0.002986  0.035618
EURUSD_6min           0.000509     -0.001788 -0.007574
USDJPY_6min          -0.001789     -0.002490  0.026601
EURUSD_7min           0.000664      0.002099 -0.009876
USDJPY_7min          -0.001396     -0.000182  0.020761
EURUSD_8min           0.000635      0.001781 -0.009448
USDJPY_8min          -0.001191      0.000603  0.017710
EURUSD_9min           0.000894      0.002806 -0.013300
GBPUSD_9min          -0.000135           NaN  0.002002
EURUSD_10min          0.001078      0.003342 -0.016037
GBPUSD_10min         -0.000500           NaN  0.007437
GBPUSD_3min                NaN     -0.003668       NaN
USDJPY_9min                NaN      0.000748       NaN
USDJPY_10min               NaN      0.000522       NaN"
0.7000000000000001,"              Expexted Returns  Real Returns   Weights
EURUSD_1min           0.000875     -0.000051  0.009138
USDJPY_1min          -0.009712     -0.008945 -0.101399
EURUSD_2min           0.005778      0.007560  0.060326
GBPUSD_2min          -0.000764      0.000855 -0.007972
EURUSD_3min           0.005831      0.005421  0.060876
GBPUSD_3min           0.003460      0.003937  0.036127
EURUSD_4min           0.006266      0.006305  0.065421
GBPUSD_4min           0.004757           NaN  0.049662
EURUSD_5min           0.006845      0.009018  0.071458
GBPUSD_5min           0.005962      0.004329  0.062242
GBPUSD_6min           0.007071      0.005478  0.073819
EURUSD_6min           0.006430      0.006055  0.067132
GBPUSD_7min           0.007401      0.004082  0.077263
EURUSD_7min           0.006086           NaN  0.063540
GBPUSD_8min           0.007503      0.006359  0.078329
EURUSD_8min           0.005693      0.005804  0.059434
GBPUSD_9min           0.007861      0.006663  0.082072
EURUSD_9min           0.005368      0.004462  0.056045
GBPUSD_10min          0.007154      0.008101  0.074693
EURUSD_10min          0.005919      0.004596  0.061796
USDJPY_4min                NaN      0.002899       NaN
USDJPY_7min                NaN      0.003683       NaN"
0.8,"              Expexted Returns  Real Returns   Weights
EURUSD_1min           0.016653      0.016619  0.056087
GBPUSD_1min           0.009695      0.007375  0.032652
EURUSD_2min           0.016683      0.018255  0.056187
GBPUSD_2min           0.016649      0.017761  0.056072
GBPUSD_3min           0.017279      0.018430  0.058195
EURUSD_3min           0.014268      0.013856  0.048054
GBPUSD_4min           0.016851      0.018583  0.056754
EURUSD_4min           0.013732      0.013184  0.046248
GBPUSD_5min           0.016709      0.017311  0.056276
EURUSD_5min           0.013582      0.011463  0.045743
GBPUSD_6min           0.017090      0.013250  0.057558
EURUSD_6min           0.012386      0.012372  0.041716
GBPUSD_7min           0.016941      0.018528  0.057055
USDMXN_7min           0.013592      0.015719  0.045777
GBPUSD_8min           0.016313      0.014748  0.054942
EURUSD_8min           0.010776           NaN  0.036293
GBPUSD_9min           0.015921      0.012924  0.053621
USDMXN_9min           0.012287      0.016139  0.041380
USDMXN_10min          0.015239      0.010778  0.051324
GBPUSD_10min          0.014272      0.009960  0.048068
USDMXN_8min                NaN      0.012508       NaN"
0.9,"              Expexted Returns  Real Returns   Weights
GBPUSD_1min           0.035963      0.037921  0.060605
EURUSD_1min           0.032680      0.033391  0.055073
GBPUSD_2min           0.034364      0.035000  0.057912
EURUSD_2min           0.027706      0.027649  0.046690
GBPUSD_3min           0.031288      0.029946  0.052728
USDMXN_3min           0.029278           NaN  0.049339
USDMXN_4min           0.031677      0.029122  0.053384
GBPUSD_4min           0.028706      0.030052  0.048377
USDMXN_5min           0.036011      0.042526  0.060686
GBPUSD_5min           0.027572      0.025597  0.046464
USDMXN_6min           0.028838      0.031205  0.048599
GBPUSD_6min           0.027209      0.029252  0.045854
USDMXN_7min           0.034366      0.035881  0.057915
GBPUSD_7min           0.026571      0.028600  0.044779
USDMXN_8min           0.028013      0.029043  0.047208
GBPUSD_8min           0.025201      0.026918  0.042470
USDMXN_9min           0.029316      0.029245  0.049404
GBPUSD_9min           0.024045      0.021515  0.040521
USDMXN_10min          0.032547      0.036501  0.054850
GBPUSD_10min          0.022040      0.022822  0.037142
EURUSD_3min                NaN      0.022223       NaN"
1.0,"              Expexted Returns  Real Returns   Weights
USDMXN_1min           0.065345      0.065300  0.067399
GBPUSD_1min           0.062748      0.062740  0.064721
USDMXN_2min           0.063077      0.062999  0.065060
GBPUSD_2min           0.052185      0.052176  0.053826
USDMXN_3min           0.062432      0.062340  0.064395
GBPUSD_3min           0.045260      0.045249  0.046683
USDMXN_4min           0.060065      0.060004  0.061954
GBPUSD_4min           0.040832      0.040821  0.042116
USDMXN_5min           0.062321      0.062257  0.064280
GBPUSD_5min           0.038707      0.038694  0.039923
USDMXN_6min           0.049447      0.049398  0.051002
GBPUSD_6min           0.037120      0.037108  0.038287
USDMXN_7min           0.055884      0.055825  0.057641
GBPUSD_7min           0.036498      0.036487  0.037646
USDMXN_8min           0.045604      0.045552  0.047038
GBPUSD_8min           0.033822      0.033811  0.034885
USDMXN_9min           0.045720      0.045674  0.047157
GBPUSD_9min           0.031878      0.031867  0.032881
USDMXN_10min          0.049186      0.049136  0.050732
USDZAR_10min          0.031389      0.031375  0.032376"
