,portfolios
0.0,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.056077     -0.056077  0.065323
USDJPY_1min          -0.145610     -0.145614  0.169619
USDHKD_2min          -0.033228     -0.033228  0.038707
USDCNH_2min          -0.096266     -0.096270  0.112140
USDHKD_3min          -0.024778     -0.024778  0.028864
USDCNH_3min          -0.075160     -0.075163  0.087554
USDHKD_4min          -0.019898     -0.019899  0.023179
USDCNH_4min          -0.063438     -0.063440  0.073898
USDHKD_5min          -0.016661     -0.016661  0.019409
USDCNH_5min          -0.055268     -0.055271  0.064381
USDHKD_6min          -0.014810     -0.014810  0.017252
USDCNH_6min          -0.049106     -0.049108  0.057203
USDHKD_7min          -0.013056     -0.013056  0.015209
USDCNH_7min          -0.045133     -0.045135  0.052575
USDHKD_8min          -0.011941     -0.011941  0.013910
USDCNH_8min          -0.041767     -0.041768  0.048654
USDHKD_9min          -0.010940     -0.010940  0.012744
USDCNH_9min          -0.038483     -0.038485  0.044829
USDHKD_10min         -0.009734     -0.009734  0.011339
USDCNH_10min         -0.037097     -0.037098  0.043214"
0.1,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.050600     -0.051022  0.067476
USDJPY_1min          -0.126213     -0.125565  0.168306
USDHKD_2min          -0.029934     -0.029580  0.039917
USDCNH_2min          -0.084746     -0.083653  0.113010
USDHKD_3min          -0.022307     -0.022074  0.029747
USDCNH_3min          -0.065549     -0.065443  0.087409
USDHKD_4min          -0.017861     -0.017920  0.023818
USDCNH_4min          -0.054947     -0.054090  0.073272
USDHKD_5min          -0.014927     -0.015183  0.019906
USDCNH_5min          -0.047562     -0.047875  0.063424
USDHKD_6min          -0.013304     -0.013308  0.017742
USDCNH_6min          -0.042260     -0.041679  0.056354
USDHKD_7min          -0.011662     -0.011261  0.015551
USDCNH_7min          -0.038484     -0.038044  0.051319
USDHKD_8min          -0.010699     -0.010776  0.014267
USDCNH_8min          -0.035827     -0.036733  0.047776
USDHKD_9min          -0.009808     -0.009765  0.013079
USDCNH_9min          -0.032889     -0.033645  0.043858
USDHKD_10min         -0.008691     -0.008685  0.011590
USDCNH_10min         -0.031631     -0.030106  0.042180"
0.2,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.045092     -0.045161  0.070722
EURUSD_1min          -0.104508     -0.105272  0.163908
USDHKD_2min          -0.026629     -0.026820  0.041765
EURUSD_2min          -0.071762           NaN  0.112550
USDHKD_3min          -0.019830     -0.020106  0.031101
USDCNH_3min          -0.055837           NaN  0.087574
USDHKD_4min          -0.015882     -0.015853  0.024909
USDCNH_4min          -0.046505     -0.047684  0.072938
USDHKD_5min          -0.013256     -0.013481  0.020790
USDCNH_5min          -0.040010     -0.039600  0.062750
USDHKD_6min          -0.011796     -0.011936  0.018501
USDCNH_6min          -0.035365     -0.035720  0.055466
USDHKD_7min          -0.010337     -0.010475  0.016212
USDCNH_7min          -0.032036     -0.032508  0.050245
USDHKD_8min          -0.009452     -0.009627  0.014825
USDCNH_8min          -0.029730     -0.030837  0.046629
USDHKD_9min          -0.008675     -0.008322  0.013606
USDCNH_9min          -0.027262     -0.026135  0.042757
USDHKD_10min         -0.007644     -0.007464  0.011988
USDCNH_10min         -0.025991     -0.026206  0.040764
USDJPY_2min                NaN     -0.071397       NaN
EURUSD_3min                NaN     -0.054677       NaN"
0.30000000000000004,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.039552     -0.038834  0.077165
EURUSD_1min          -0.081241     -0.079795  0.158501
USDHKD_2min          -0.023313     -0.024032  0.045484
EURUSD_2min          -0.054037     -0.052616  0.105427
USDHKD_3min          -0.017346     -0.017384  0.033843
EURUSD_3min          -0.042176     -0.040624  0.082285
USDHKD_4min          -0.013836     -0.013976  0.026994
EURUSD_4min          -0.036161     -0.034859  0.070550
USDHKD_5min          -0.011582     -0.011615  0.022596
EURUSD_5min          -0.031676           NaN  0.061800
USDHKD_6min          -0.010286     -0.010378  0.020068
USDCNH_6min          -0.028421           NaN  0.055449
USDHKD_7min          -0.009010     -0.009174  0.017579
USDCNH_7min          -0.025545     -0.025259  0.049838
USDHKD_8min          -0.008204     -0.008091  0.016007
USDCNH_8min          -0.023595     -0.023423  0.046034
USDHKD_9min          -0.007541     -0.007553  0.014713
USDCNH_9min          -0.021603     -0.020515  0.042146
USDHKD_10min         -0.006676     -0.006784  0.013025
USDCNH_10min         -0.020756           NaN  0.040495
USDCNH_5min                NaN     -0.032391       NaN
USDJPY_6min                NaN     -0.029612       NaN
USDJPY_10min               NaN     -0.019916       NaN"
0.4,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.033979     -0.033153  0.093843
EURUSD_1min          -0.057370     -0.058171  0.158442
USDHKD_2min          -0.019986     -0.020185  0.055196
EURUSD_2min          -0.035975     -0.035417  0.099354
USDHKD_3min          -0.014857     -0.014531  0.041031
EURUSD_3min          -0.027188     -0.026053  0.075086
USDHKD_4min          -0.011849     -0.011588  0.032723
EURUSD_4min          -0.022745     -0.026872  0.062816
USDHKD_5min          -0.009905     -0.009976  0.027355
EURUSD_5min          -0.019693     -0.016482  0.054388
USDHKD_6min          -0.008773     -0.008718  0.024230
EURUSD_6min          -0.017422           NaN  0.048116
USDHKD_7min          -0.007682     -0.007811  0.021216
EURUSD_7min          -0.015627     -0.013908  0.043159
USDHKD_8min          -0.006955     -0.006659  0.019208
EURUSD_8min          -0.014125     -0.012095  0.039009
USDHKD_9min          -0.006406     -0.006335  0.017691
EURUSD_9min          -0.013290     -0.014266  0.036705
USDHKD_10min         -0.005627     -0.005764  0.015539
EURUSD_10min         -0.012634           NaN  0.034893
USDJPY_6min                NaN     -0.019439       NaN
USDJPY_10min               NaN     -0.013930       NaN"
0.5,"              Expexted Returns  Real Returns   Weights
USDHKD_1min          -0.028375     -0.028941  0.136492
EURUSD_1min          -0.032879     -0.035813  0.158158
USDHKD_2min          -0.016647     -0.016371  0.080079
EURUSD_2min          -0.017567     -0.018492  0.084504
EURUSD_3min          -0.011965     -0.012758  0.057556
USDHKD_3min          -0.012361     -0.012490  0.059459
EURUSD_4min          -0.009084     -0.009576  0.043698
USDHKD_4min          -0.009795     -0.009447  0.047116
EURUSD_5min          -0.007347     -0.006826  0.035341
USDHKD_5min          -0.008224           NaN  0.039559
EURUSD_6min          -0.006269     -0.005744  0.030156
USDHKD_6min          -0.007258     -0.007215  0.034915
EURUSD_7min          -0.005302     -0.005860  0.025506
USDHKD_7min          -0.006352           NaN  0.030555
EURUSD_8min          -0.004694     -0.003181  0.022578
USDHKD_8min          -0.005780           NaN  0.027802
EURUSD_9min          -0.004185     -0.007390  0.020130
USDHKD_9min          -0.005269     -0.004963  0.025346
EURUSD_10min         -0.003880     -0.001368  0.018666
USDHKD_10min         -0.004653           NaN  0.022384
USDJPY_5min                NaN     -0.008156       NaN
USDJPY_7min                NaN     -0.006221       NaN
USDJPY_8min                NaN     -0.004418       NaN
GBPUSD_10min               NaN     -0.002414       NaN"
0.6000000000000001,"              Expexted Returns  Real Returns   Weights
EURUSD_1min          -0.007624     -0.006854 -0.302891
USDJPY_1min          -0.022300     -0.022012 -0.885953
EURUSD_2min           0.001370      0.001164  0.054444
USDJPY_2min          -0.007306     -0.009649 -0.290250
EURUSD_3min           0.003710      0.000248  0.147394
USDJPY_3min          -0.002255           NaN -0.089595
EURUSD_4min           0.004959      0.005335  0.197021
GBPUSD_4min           0.000525           NaN  0.020875
EURUSD_5min           0.005214      0.002716  0.207140
GBPUSD_5min           0.001889      0.002953  0.075045
EURUSD_6min           0.005311      0.006949  0.211008
GBPUSD_6min           0.003166      0.011151  0.125798
EURUSD_7min           0.005131      0.005155  0.203851
GBPUSD_7min           0.003846      0.004405  0.152815
EURUSD_8min           0.004887      0.005180  0.194172
GBPUSD_8min           0.004225           NaN  0.167871
EURUSD_9min           0.005365      0.007229  0.213132
GBPUSD_9min           0.005258      0.004635  0.208895
EURUSD_10min          0.005013      0.006340  0.199167
GBPUSD_10min          0.004784      0.004793  0.190061
GBPUSD_3min                NaN     -0.003100       NaN
USDJPY_4min                NaN      0.001964       NaN
USDJPY_8min                NaN      0.003941       NaN"
0.7000000000000001,"              Expexted Returns  Real Returns   Weights
EURUSD_1min           0.018160      0.017112  0.050099
GBPUSD_1min           0.001529      0.002391  0.004219
EURUSD_2min           0.020491      0.019464  0.056531
GBPUSD_2min           0.016853      0.013751  0.046495
GBPUSD_3min           0.020667      0.016008  0.057016
EURUSD_3min           0.019416      0.019719  0.053566
GBPUSD_4min           0.020997      0.025111  0.057926
EURUSD_4min           0.018753      0.020826  0.051737
GBPUSD_5min           0.020434      0.019975  0.056374
EURUSD_5min           0.017653      0.019365  0.048703
GBPUSD_6min           0.020209      0.020325  0.055754
EURUSD_6min           0.016723           NaN  0.046135
GBPUSD_7min           0.019964      0.014841  0.055076
USDMXN_7min           0.016480           NaN  0.045464
GBPUSD_8min           0.019555      0.018796  0.053950
USDMXN_8min           0.014944           NaN  0.041227
GBPUSD_9min           0.019535      0.014167  0.053893
USDMXN_9min           0.019304           NaN  0.053256
USDMXN_10min          0.021929      0.017479  0.060497
GBPUSD_10min          0.018878      0.024517  0.052082
USDMXN_6min                NaN      0.025534       NaN
EURUSD_7min                NaN      0.014981       NaN
EURUSD_8min                NaN      0.015117       NaN
EURUSD_9min                NaN      0.013574       NaN"
0.8,"              Expexted Returns  Real Returns   Weights
EURUSD_1min           0.044613      0.044119  0.052744
GBPUSD_1min           0.041212      0.046113  0.048723
GBPUSD_2min           0.045950      0.047254  0.054325
EURUSD_2min           0.039977      0.041005  0.047263
GBPUSD_3min           0.045102      0.046524  0.053322
EURUSD_3min           0.035368           NaN  0.041814
USDMXN_4min           0.042799      0.044492  0.050600
GBPUSD_4min           0.042567      0.042973  0.050325
USDMXN_5min           0.046718      0.053072  0.055232
GBPUSD_5min           0.039323      0.035945  0.046489
USDMXN_6min           0.048466           NaN  0.057299
GBPUSD_6min           0.037542      0.040062  0.044384
USDMXN_7min           0.051612      0.052835  0.061018
GBPUSD_7min           0.036340      0.031994  0.042963
USDMXN_8min           0.046906      0.057182  0.055455
GBPUSD_8min           0.035120      0.035920  0.041520
USDMXN_9min           0.049955      0.043004  0.059059
GBPUSD_9min           0.034014      0.034256  0.040213
USDMXN_10min          0.050196      0.050998  0.059345
GBPUSD_10min          0.032064      0.031890  0.037908
USDMXN_3min                NaN      0.038857       NaN
EURUSD_6min                NaN      0.028650       NaN"
0.9,"              Expexted Returns  Real Returns   Weights
GBPUSD_1min           0.082468      0.085584  0.057628
EURUSD_1min           0.071754      0.072541  0.050141
USDMXN_2min           0.077085      0.075327  0.053866
GBPUSD_2min           0.075880      0.074136  0.053024
USDMXN_3min           0.083597      0.089038  0.058417
GBPUSD_3min           0.070122      0.073527  0.049001
USDMXN_4min           0.086992      0.090766  0.060789
GBPUSD_4min           0.063899      0.061989  0.044652
USDMXN_5min           0.087651      0.090580  0.061250
GBPUSD_5min           0.058561      0.058415  0.040922
USDMXN_6min           0.085982      0.089148  0.060084
GBPUSD_6min           0.055169      0.057592  0.038552
USDMXN_7min           0.087958      0.086302  0.061464
GBPUSD_7min           0.052978      0.051522  0.037021
USDMXN_8min           0.079875      0.082221  0.055816
GBPUSD_8min           0.050921      0.052930  0.035583
USDMXN_9min           0.081527      0.069157  0.056971
GBPUSD_9min           0.048699           NaN  0.034031
USDMXN_10min          0.081703      0.081958  0.057093
USDZAR_10min          0.048220           NaN  0.033696
USDZAR_9min                NaN      0.046428       NaN
GBPUSD_10min               NaN      0.046330       NaN"
